epoch 0: loss=220.0000, w=0.440, b=0.120
epoch 20: loss=0.2149, w=1.861, b=0.477
epoch 40: loss=0.1837, w=1.876, b=0.448
epoch 60: loss=0.1605, w=1.884, b=0.418
epoch 80: loss=0.1401, w=1.892, b=0.391
epoch 100: loss=0.1224, w=1.899, b=0.365
epoch 120: loss=0.1069, w=1.905, b=0.342
epoch 140: loss=0.0933, w=1.912, b=0.319
epoch 160: loss=0.0815, w=1.917, b=0.298
epoch 180: loss=0.0712, w=1.923, b=0.279
epoch 200: loss=0.0622, w=1.928, b=0.260
epoch 220: loss=0.0543, w=1.933, b=0.243
epoch 240: loss=0.0474, w=1.937, b=0.227
epoch 260: loss=0.0414, w=1.941, b=0.213
epoch 280: loss=0.0362, w=1.945, b=0.199
epoch 300: loss=0.0316, w=1.949, b=0.186
epoch 320: loss=0.0276, w=1.952, b=0.173
epoch 340: loss=0.0241, w=1.955, b=0.162
epoch 360: loss=0.0210, w=1.958, b=0.152
epoch 380: loss=0.0184, w=1.961, b=0.142
epoch 400: loss=0.0160, w=1.963, b=0.132
epoch 420: loss=0.0140, w=1.966, b=0.124
epoch 440: loss=0.0122, w=1.968, b=0.116
epoch 460: loss=0.0107, w=1.970, b=0.108
epoch 480: loss=0.0093, w=1.972, b=0.101
epoch 500: loss=0.0081, w=1.974, b=0.094
epoch 520: loss=0.0071, w=1.976, b=0.088
epoch 540: loss=0.0062, w=1.977, b=0.082
epoch 560: loss=0.0054, w=1.979, b=0.077
epoch 580: loss=0.0047, w=1.980, b=0.072
epoch 600: loss=0.0041, w=1.981, b=0.067
epoch 620: loss=0.0036, w=1.983, b=0.063
epoch 640: loss=0.0032, w=1.984, b=0.059
epoch 660: loss=0.0028, w=1.985, b=0.055
epoch 680: loss=0.0024, w=1.986, b=0.051
epoch 700: loss=0.0021, w=1.987, b=0.048
epoch 720: loss=0.0018, w=1.988, b=0.045
epoch 740: loss=0.0016, w=1.988, b=0.042
epoch 760: loss=0.0014, w=1.989, b=0.039
epoch 780: loss=0.0012, w=1.990, b=0.037
epoch 800: loss=0.0011, w=1.991, b=0.034
epoch 820: loss=0.0009, w=1.991, b=0.032
epoch 840: loss=0.0008, w=1.992, b=0.030
epoch 860: loss=0.0007, w=1.992, b=0.028
epoch 880: loss=0.0006, w=1.993, b=0.026
epoch 900: loss=0.0005, w=1.993, b=0.024
epoch 920: loss=0.0005, w=1.994, b=0.023
epoch 940: loss=0.0004, w=1.994, b=0.021
epoch 960: loss=0.0004, w=1.994, b=0.020
epoch 980: loss=0.0003, w=1.995, b=0.019
epoch 1000: loss=0.0003, w=1.995, b=0.017
epoch 1020: loss=0.0002, w=1.996, b=0.016
epoch 1040: loss=0.0002, w=1.996, b=0.015
epoch 1060: loss=0.0002, w=1.996, b=0.014
epoch 1080: loss=0.0002, w=1.996, b=0.013
epoch 1100: loss=0.0001, w=1.997, b=0.012
epoch 1120: loss=0.0001, w=1.997, b=0.012
epoch 1140: loss=0.0001, w=1.997, b=0.011
epoch 1160: loss=0.0001, w=1.997, b=0.010
epoch 1180: loss=0.0001, w=1.997, b=0.009
epoch 1200: loss=0.0001, w=1.998, b=0.009
epoch 1220: loss=0.0001, w=1.998, b=0.008
epoch 1240: loss=0.0001, w=1.998, b=0.008
epoch 1260: loss=0.0000, w=1.998, b=0.007
epoch 1280: loss=0.0000, w=1.998, b=0.007
epoch 1300: loss=0.0000, w=1.998, b=0.006
epoch 1320: loss=0.0000, w=1.998, b=0.006
epoch 1340: loss=0.0000, w=1.998, b=0.005
epoch 1360: loss=0.0000, w=1.999, b=0.005
epoch 1380: loss=0.0000, w=1.999, b=0.005
epoch 1400: loss=0.0000, w=1.999, b=0.004
epoch 1420: loss=0.0000, w=1.999, b=0.004
epoch 1440: loss=0.0000, w=1.999, b=0.004
epoch 1460: loss=0.0000, w=1.999, b=0.004
epoch 1480: loss=0.0000, w=1.999, b=0.003
epoch 1500: loss=0.0000, w=1.999, b=0.003
epoch 1520: loss=0.0000, w=1.999, b=0.003
epoch 1540: loss=0.0000, w=1.999, b=0.003
epoch 1560: loss=0.0000, w=1.999, b=0.003
epoch 1580: loss=0.0000, w=1.999, b=0.002
epoch 1600: loss=0.0000, w=1.999, b=0.002
epoch 1620: loss=0.0000, w=1.999, b=0.002
epoch 1640: loss=0.0000, w=1.999, b=0.002
epoch 1660: loss=0.0000, w=1.999, b=0.002
epoch 1680: loss=0.0000, w=2.000, b=0.002

Final: w=2.000, b=0.002 (target: w=2, b=0)
